Fazar,m1,Zohor,m2,Asar,m3,Magrib,m4,Esha,m5
05, 14, 12, 03, 15, 49, 17, 30, 18, 34
05, 14, 12, 03, 15, 49, 17, 30, 18, 34
05, 14, 12, 03, 15, 49, 17, 30, 18, 34
05, 14, 12, 03, 15, 49, 17, 30, 18, 34
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 14, 16, 11, 17, 52, 19, 05
05, 17, 12, 14, 16, 11, 17, 52, 19, 05
05, 17, 12, 14, 16, 11, 17, 52, 19, 05
05, 17, 12, 14, 16, 11, 17, 52, 19, 05
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
04, 58, 12, 13, 16, 25, 18, 07, 19, 18
04, 58, 12, 13, 16, 25, 18, 07, 19, 18
04, 58, 12, 13, 16, 25, 18, 07, 19, 18
04, 58, 12, 13, 16, 25, 18, 07, 19, 18
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 48, 12, 09, 16, 28, 18, 13, 19, 24
04, 48, 12, 09, 16, 28, 18, 13, 19, 24
